,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1592_1,0,0,0,1,6,2,0,1,1,1,1,2,1,0,3,1,3,3,2,3,1,1,2,2,0,1,2,2,5,0,1,0,1,0,1,0,1,0,2,0,0,1,0,2,0,3,0,2,3,0
1592_2,1,1,2,0,5,12,0,1,0,1,1,1,0,1,4,1,1,3,3,1,1,1,2,2,1,1,5,0,3,1,1,1,2,1,5,0,2,1,2,0,0,2,1,0,0,1,0,0,2,0
1452_1,107,41,57,12,16,104,26,16,41,39,40,38,47,43,164,30,124,25,58,45,31,106,21,35,20,70,118,56,78,26,50,45,21,8,59,11,25,120,109,28,55,10,50,40,5,75,29,34,86,38
1245_3,3,0,1,18,0,25,0,0,0,0,0,1,1,0,1,0,1,0,1,2,1,1,0,1,0,1,0,0,1,14,2,0,6,0,0,1,2,1,2,2,26,2,0,0,0,0,1,1,0,3
1245_2,3,28,146,27,35,27,70,99,76,98,19,52,32,65,25,182,27,79,109,53,57,7,78,124,68,67,50,17,74,27,33,209,136,21,31,113,122,24,65,19,24,28,79,35,6,69,109,10,86,23
1746_1,5,0,0,4,2,1,0,7,5,0,0,2,5,3,0,0,0,1,4,4,0,0,2,0,0,1,0,1,3,1,4,0,0,0,0,1,4,0,0,0,9,1,2,0,1,1,3,12,0,0
1746_2,0,0,2,0,3,2,0,3,5,2,0,3,1,6,1,1,0,3,3,1,5,2,2,2,0,4,0,0,3,0,3,1,1,1,0,0,3,1,3,0,0,2,5,8,1,4,3,1,3,0
1533_1,7,4,5,4,0,10,1,7,3,4,3,4,10,4,4,2,2,2,3,11,2,2,2,3,2,1,0,5,3,4,9,1,2,1,4,6,6,2,3,3,24,5,2,0,7,5,6,8,3,9
327_7,63,98,57,21,15,78,51,33,39,28,95,121,63,43,15,122,25,90,49,127,46,65,76,40,60,59,19,22,56,54,46,150,48,54,13,76,39,35,39,9,109,36,29,78,35,36,47,35,31,133
1329_1,0,0,1,0,1,6,0,0,0,1,0,0,0,1,1,0,1,0,4,0,0,13,0,0,0,1,0,11,2,0,0,0,0,3,2,3,0,0,1,8,0,0,4,1,1,0,0,0,0,0
1329_2,11,2,0,0,0,1,4,1,1,1,1,11,26,5,3,5,3,2,1,7,1,0,1,13,6,3,3,2,7,0,27,2,10,1,8,3,7,0,10,6,13,0,2,3,0,3,5,2,2,3
1329_3,30,39,26,10,13,16,37,34,14,21,69,41,67,19,4,58,20,31,24,38,16,18,29,20,43,18,14,12,31,19,67,55,24,26,31,30,32,28,19,26,60,6,14,12,54,19,16,13,24,73
1329_4,30,26,26,1,14,3,34,12,11,11,61,28,55,5,4,42,12,29,18,28,5,16,27,17,32,14,3,3,22,14,45,29,21,15,25,48,14,20,14,30,60,4,4,25,65,10,15,1,18,47
1329_5,25,31,38,6,21,18,57,31,18,11,60,43,80,14,5,42,37,29,31,35,14,13,28,36,52,34,8,13,21,27,71,38,35,21,53,36,29,27,22,33,71,3,10,16,51,24,21,11,29,54
1329_6,19,47,19,16,39,30,68,28,18,29,58,34,69,30,5,43,14,38,34,36,28,21,42,25,51,23,6,15,36,26,55,31,41,41,32,31,24,17,22,20,69,9,25,13,57,30,22,12,27,64
1553_1,4,1,30,4,16,50,12,14,15,16,2,8,8,11,4,23,10,22,14,5,7,10,17,18,12,20,5,9,15,0,7,25,14,4,17,43,15,13,9,13,21,5,6,11,4,18,8,3,8,2
